iter	Passed	Remaining
0	134	134647
1	139	69695
2	144	47866
3	147	36688
4	151	30141
5	155	25818
6	159	22656
7	163	20313
8	168	18603
9	173	17194
10	177	15987
11	182	14999
12	186	14138
13	190	13424
14	194	12761
15	197	12150
16	200	11569
17	202	11026
18	203	10531
19	205	10088
20	207	9685
21	209	9312
22	211	8967
23	212	8642
24	213	8338
25	215	8067
26	216	7807
27	218	7571
28	219	7354
29	221	7152
30	222	6961
31	224	6779
32	225	6616
33	227	6467
34	229	6316
35	230	6176
36	232	6038
37	233	5911
38	234	5787
39	236	5673
40	237	5562
41	239	5457
42	240	5357
43	242	5264
44	243	5177
45	245	5097
46	247	5012
47	248	4933
48	250	4856
49	251	4781
50	253	4710
51	254	4641
52	256	4576
53	257	4511
54	258	4449
55	260	4390
56	261	4332
57	263	4281
58	265	4227
59	266	4175
60	267	4124
61	269	4074
62	270	4026
63	272	3981
64	273	3936
65	275	3892
66	276	3849
67	277	3808
68	279	3769
69	280	3730
70	282	3695
71	283	3654
72	284	3614
73	286	3579
74	287	3544
75	288	3509
76	289	3475
77	291	3440
78	292	3409
79	293	3375
80	294	3344
81	295	3312
82	296	3275
83	297	3244
84	298	3212
85	299	3183
86	300	3153
87	301	3123
88	302	3092
89	303	3063
90	303	3034
91	304	3006
92	305	2978
93	306	2950
94	306	2923
95	307	2897
96	308	2872
97	309	2847
98	310	2823
99	310	2798
100	311	2774
101	312	2750
102	313	2727
103	313	2704
104	314	2681
105	315	2659
106	316	2638
107	316	2616
108	317	2597
109	318	2579
110	319	2560
111	320	2541
112	321	2521
113	321	2502
114	322	2483
115	323	2464
116	323	2445
117	324	2427
118	325	2409
119	326	2392
120	326	2375
121	327	2357
122	328	2341
123	329	2326
124	329	2309
125	330	2294
126	331	2277
127	332	2262
128	332	2248
129	333	2233
130	334	2218
131	335	2203
132	335	2189
133	336	2176
134	337	2164
135	338	2151
136	339	2138
137	340	2124
138	340	2111
139	341	2098
140	342	2085
141	342	2071
142	343	2060
143	344	2047
144	345	2035
145	345	2023
146	346	2011
147	347	1999
148	348	1988
149	348	1977
150	349	1966
151	350	1954
152	351	1944
153	351	1933
154	352	1922
155	353	1912
